Ref,Val,Package,PosX,PosY,Rot,Side
"C23","100n","0201_universal",84.779400,78.900000,0.000000,bottom
"J2","Conn_01x02_Socket","JST_S2B-PH-SM4-TB",76.886500,82.734525,0.000000,bottom
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KMR2",85.300000,82.150000,90.000000,bottom
"TP3","CC1","TestPoint_Pad_D0.5mm",90.600000,50.900000,180.000000,bottom
"TP4","CC2","TestPoint_Pad_D0.5mm",92.200000,50.900000,180.000000,bottom
"AE1","Antenna_Chip","AANI-CH-0129-T",106.764734,83.714734,45.000000,top
"C1","2u2","0201_universal",91.837968,73.681973,45.000000,top
"C2","10u","0603_universal",97.712299,63.650000,180.000000,top
"C3","10u","0402_universal",89.208323,72.617014,135.000000,top
"C4","100n","0201_universal",94.615761,76.160836,45.000000,top
"C5","2n2","0201_universal",97.029618,75.419583,45.000000,top
"C6","1p5","0201_universal",97.391657,75.057545,-135.000000,top
"C7","100n","0201_universal",93.876410,67.890798,-45.000000,top
"C8","100n","0201_universal",99.118537,70.120075,45.000000,top
"C9","2p","0201_universal",99.317391,75.861807,-45.000000,top
"C10","100n","0201_universal",90.868526,72.709828,-135.000000,top
"C11","0p3","0201_universal",100.055894,77.458172,135.000000,top
"C12","2u2","0201_universal",92.286974,74.523847,135.000000,top
"C13","10u","0603_universal",95.889999,61.850000,90.000000,top
"C14","10u","0603_universal",85.999999,61.320000,180.000000,top
"C15","2u2","0603_universal",85.999999,63.270000,180.000000,top
"C16","1u","0603_universal",85.999999,60.270001,180.000000,top
"C17","100n","0201_universal",92.200000,65.270000,90.000000,top
"C18","1u","0603_universal",85.999999,58.270000,180.000000,top
"C19","100n","0201_universal",84.202434,82.097566,135.000000,top
"C20","100n","0201_universal",73.889700,52.900000,-90.000000,top
"C21","100n","0201_universal",104.800000,53.520600,90.000000,top
"D1","LED_ARGB","LED_Wurth_150044M155260",84.204270,75.862459,45.000000,top
"FB1","120R/0.2A","0201_universal",91.147068,75.658110,-45.000000,top
"J1","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal",91.500000,51.900000,0.000000,top
"L1","4u7","0603_universal",90.203555,73.913190,45.000000,top
"L2","2n7","0201_universal",97.750867,74.698334,-135.000000,top
"L3","3n5","0201_universal",98.564934,75.490405,-135.000000,top
"L4","3n5","0201_universal",99.701287,76.648754,-135.000000,top
"L5","2u2","INDC2016X100N",98.150000,61.850000,180.000000,top
"R1","470k","0201_universal",89.400000,65.270000,90.000000,top
"R2","10k","0201_universal",90.699999,65.270000,-90.000000,top
"R3","10k","0201_universal",91.300000,65.270000,-90.000000,top
"R4","10k","0201_universal",85.590090,65.040559,180.000000,top
"R5","50k","0201_universal",88.400000,67.179401,-90.000000,top
"SW1","SW_Push","SW_SPST_Omron_B3FS-101xP",81.022289,79.044440,45.000000,top
"TP1","UART_TX","TestPoint_Pad_D1.0mm",101.300000,67.900000,-90.000000,top
"TP2","UART_RX","TestPoint_Pad_D1.0mm",99.300000,67.900000,90.000000,top
"TP5","VBAT","TestPoint_Pad_D0.5mm",84.384567,64.262742,-45.000000,top
"TP6","VBUS","TestPoint_Pad_D0.5mm",84.349211,59.277639,-45.000000,top
"TP7","VSYS","TestPoint_Pad_D0.5mm",84.313856,62.353554,-45.000000,top
"TP8","VBUS_OUT","TestPoint_Pad_D0.5mm",80.700000,62.400000,-45.000000,top
"TP9","3V0","TestPoint_Pad_D0.5mm",100.834900,61.900000,45.000000,top
"TP10","~{PAIR}","TestPoint_Pad_D0.5mm",87.200000,78.500000,180.000000,top
"TP11","NPMINT","TestPoint_Pad_D0.5mm",94.400000,64.800000,180.000000,top
"TP12","SDA","TestPoint_Pad_D0.5mm",104.000000,55.200000,0.000000,top
"TP13","SCL","TestPoint_Pad_D0.5mm",109.100000,49.900000,0.000000,top
"TP14","SDA_C","TestPoint_Pad_D0.5mm",77.400000,51.200000,0.000000,top
"TP15","SCL_C","TestPoint_Pad_D0.5mm",78.900000,51.200000,0.000000,top
"U1","nRF54lxx_QDAA","QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias",95.103456,71.774876,45.000000,top
"U2","NPM1300-QEAA-R","QFN32_5X5_NOR-L",91.500000,60.800000,180.000000,top
"U3","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",76.000000,53.000000,180.000000,top
"U4","STCC4","STCC4",107.000000,53.000000,180.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_2016-4Pin_2.0x1.6mm",96.134421,78.038990,135.000000,top
"Y2","Crystal_Small","Crystal_SMD_2012-2Pin_2.0x1.2mm",90.129966,69.222340,-45.000000,top
"Z1","0","0201_universal",101.247566,78.197566,-135.000000,top
"Z2","3n6H","0201_universal",100.847566,77.402434,135.000000,top
