"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Part Num.","Link"
"AE1","1","Antenna_Chip","","","","RF_Antenna:AANI-CH-0129-T","AANI-CH-0129-T","https://www.digikey.ca/en/products/detail/abracon-llc/AANI-CH-0129-T/25880603"
"C1,C12","2","2u2","","","","smaller_sizes:0201_universal","GRM033R61A225KE47","https://www.digikey.ca/en/products/detail/murata-electronics/GRM033R61A225KE47D/5877390"
"C2,C13,C14","3","10u","","","","smaller_sizes:0603_universal","GRM188R61A106ME69J","https://www.digikey.ca/en/products/detail/murata-electronics/GRM188R61A106ME69J/10695932"
"C3","1","10u","","","","smaller_sizes:0402_universal","GRT155C80J106ME13J","https://www.digikey.ca/en/products/detail/murata-electronics/GRT155C80J106ME13J/19115616"
"C4,C7,C8,C10","4","100n","","","","smaller_sizes:0201_universal","GRM033Z71A104KE14D","https://www.digikey.ca/en/products/detail/murata-electronics/GRM033Z71A104KE14D/13904844"
"C5","1","2n2","","","","smaller_sizes:0201_universal","GRM033R71A222KA01D","https://www.digikey.ca/en/products/detail/murata-electronics/GRM033R71A222KA01D/2543492"
"C6","1","1p5","","","","smaller_sizes:0201_universal","GJM0335C1E1R5WB01","https://www.digikey.ca/en/products/detail/murata-electronics/GJM0335C1E1R5WB01J/2592529"
"C9","1","2p","","","","smaller_sizes:0201_universal","GJM0335C1E2R0WB01","https://www.digikey.ca/en/products/detail/murata-electronics/GJM0335C1E2R0WB01D/2592548"
"C11","1","0p3","","","","smaller_sizes:0201_universal","GRM0335C1HR30BA01","https://www.digikey.ca/en/products/detail/murata-electronics/GRM0335C1HR30BA01D/2542464"
"C15","1","2u2","","","","smaller_sizes:0603_universal","GRM188R61E225KA12D","https://www.digikey.ca/en/products/detail/murata-electronics/GRM188R61E225KA12D/4905349"
"C16,C18","2","1u","","","","smaller_sizes:0603_universal","CL10A105KP8NNNC","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10A105KP8NNNC/3886840"
"C17,C19,C20,C21,C23","5","100n","","","","smaller_sizes:0201_universal","C0603X5R1E104K030BB","https://www.digikey.ca/en/products/detail/tdk/C0603X5R1E104K030BB/3950907"
"D1","1","LED_ARGB","","","","LED_SMD:LED_Wurth_150044M155260","150044M155260","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150044M155260/9857930"
"FB1","1","120R/0.2A","","","","smaller_sizes:0201_universal","BLM03AG121SN1D","https://www.digikey.ca/en/products/detail/murata-electronics/BLM03AG121SN1D/610979?s=N4IgTCBcDaIEIBkCyAGAzAQQOIEYw4GUA5HAERAF0BfIA"
"J1","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","USB4125-GF-A","https://www.digikey.ca/en/products/detail/gct/USB4125-GF-A/13547388"
"J2","1","Conn_01x02_Socket","","","","JST_S2B-PH-SM4-TB:JST_S2B-PH-SM4-TB","S2B-PH-SM4-TB","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/S2B-PH-SM4-TB/926655"
"L1","1","4u7","","","","smaller_sizes:0603_universal","MLZ1608M4R7WT000","https://www.digikey.ca/en/products/detail/tdk/MLZ1608M4R7WT000"
"L2","1","2n7","","","","smaller_sizes:0201_universal","LQP03HQ2N7B02","https://www.digikey.ca/en/products/detail/murata-electronics/LQP03HQ2N7B02D/6098709"
"L3,L4","2","3n5","","","","smaller_sizes:0201_universal","LQP03HQ3N5B02","https://www.digikey.ca/en/products/detail/murata-electronics/LQP03HQ3N5B02D/6098725"
"L5","1","2u2","","","","inductor_0806:INDC2016X100N","CIGT201610EH2R2MNE","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CIGT201610EH2R2MNE/7041223"
"R1","1","470k","","","","smaller_sizes:0201_universal","ERJ-1GNF4703C","https://www.digikey.ca/en/products/detail/panasonic-industry/ERJ-1GNF4703C/2036417"
"R2,R3,R4","3","10k","","","","smaller_sizes:0201_universal","RC0201FR-0710KL","https://www.digikey.ca/en/products/detail/yageo/RC0201FR-0710KL/1948870"
"R5","1","51k","","","","smaller_sizes:0201_universal","RC0201JR-0751KL","https://www.digikey.ca/en/products/detail/yageo/RC0201JR-0751KL/1948958"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_Omron_B3FS-101xP","B3FS-1012P","https://www.digikey.ca/en/products/detail/aratas-america-llc/B3FS-1012P/1811746"
"SW2","1","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","KMR231G LFS","https://www.digikey.ca/en/products/detail/c-k/KMR231G-LFS/550477"
"U1","1","nRF54lxx_QDAA","","","","Package_DFN_QFN:QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias","NRF54L10-QDAA-R7","https://www.digikey.ca/en/products/detail/nordic-semiconductor-asa/NRF54L10-QDAA-R7/29293705"
"U2","1","NPM1300-QEAA-R","","","","footprints:QFN32_5X5_NOR-L","NPM1300-QEAA-R7","https://www.digikey.ca/en/products/detail/nordic-semiconductor-asa/NPM1300-QEAA-R7/19722485"
